"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.2178346205,       2.010578098,       2.310478051,       5.272913383
          0,           0,           1,     -0.2119263487,       2.360418309,       2.434026169,       5.282424211
          0,           0,           2,     -0.2692071106,        2.34069939,        2.45344542,       5.229258796
          0,           0,           3,     -0.3697578685,       2.293339566,       2.392476598,       5.128002125
          0,           0,           4,      -0.398093568,       2.266629359,       2.371893992,       5.102912821
          0,           0,           5,     -0.4677156651,       2.223442605,       2.339121258,       5.036417128
          0,           0,           6,      -0.580038973,       2.156495682,       2.274780478,       4.925053441
          0,           0,           7,     -0.6862792795,       2.085679287,       2.197537742,        4.81950183
          0,           0,           8,     -0.7658145984,       2.016992968,       2.121839033,       4.741560217
          0,           0,           9,     -0.8358563797,       1.946441687,       2.048494654,       4.673679819
          0,           0,          10,     -0.9147146043,       1.870826622,       1.973708208,       4.597753497
          0,           0,          11,       -1.00399583,       1.791628655,       1.895556073,       4.511748966
          0,           0,          12,      -1.094933196,       1.712520074,        1.81509231,       4.423322368
          0,           0,          13,      -1.179002082,       1.635751984,       1.734592919,       4.340472956
          0,           0,          14,      -1.254116547,       1.561038023,       1.655202448,       4.265685232
          0,           0,          15,      -1.324003445,        1.48675542,       1.576417664,        4.19602677
          0,           0,          16,      -1.393316638,        1.41168072,       1.496943653,       4.127274688
          0,           0,          17,       -1.46437148,       1.335474748,       1.416256356,       4.057005219
          0,           0,          18,      -1.537531978,       1.257160284,       1.334032113,       3.984625628
          0,           0,          19,      -1.612089949,       1.175862537,       1.250034695,       3.910697058
          0,           0,          20,      -1.687155438,       1.091448841,       1.164770276,       3.836036336
          0,           0,          21,      -1.761969702,        1.00430823,       1.078445069,       3.761472634
          0,           0,          22,       -1.83602688,      0.9152533331,       0.991126857,       3.687642314
          0,           0,          23,      -1.908907563,       0.825290024,      0.9030452188,       3.615041309
          0,           0,          24,      -1.980171503,      0.7355421183,      0.8148043922,       3.544101264
          0,           0,          25,      -2.049232968,       0.647145161,      0.7272868407,       3.475329447
          0,           0,          26,      -2.115214467,      0.5610691367,      0.6414713732,       3.409478426
          0,           0,          27,      -2.178094004,      0.4783035888,      0.5585997651,       3.346554851
          0,           0,          28,       -2.23793179,      0.3997077759,      0.4798144451,       3.286515722
          0,           0,          29,      -2.294827323,       0.326114219,      0.4063004003,       3.229300806
          0,           0,          30,      -2.348698797,      0.2577534677,      0.3389376669,       3.175027177
          0,           0,          31,      -2.399684966,      0.1949672164,      0.2781945406,       3.123618079
          0,           0,          32,      -2.448073016,      0.1377548569,      0.2240062836,       3.074848714
          0,           0,          33,      -2.494542675,     0.08602095299,      0.1758297489,       3.028071379
          0,           0,          34,       -2.53956349,     0.03888695532,      0.1326556656,       2.982802615
          0,           0,          35,      -2.583326155,   -0.004299303551,      0.0931710281,        2.93882702
          0,           0,          36,      -2.626043435,    -0.04433716614,     0.05631558336,       2.895948446
          0,           0,          37,      -2.668308942,    -0.08205682195,     0.02115296464,       2.853596535
          0,           0,          38,      -2.710182166,     -0.1180526535,    -0.01275916171,       2.811659929
          0,           0,          39,      -2.751629429,      -0.152812622,    -0.04573525877,       2.770135384
          0,           0,          40,       -2.79281014,     -0.1868215241,    -0.07821973767,       2.728863347
          0,           0,          41,      -2.833979644,     -0.2205184528,     -0.1106928875,        2.68760194
          0,           0,          42,      -2.875368242,     -0.2543309824,     -0.1435261675,       2.646131867
          0,           0,          43,      -2.917187257,     -0.2886438607,     -0.1770607102,       2.604251296
          0,           0,          44,      -2.959599349,     -0.3237804008,      -0.211574467,       2.561801806
          0,           0,          45,      -3.002741113,     -0.3600021354,     -0.2473185973,       2.518648943
          0,           0,          46,      -3.046742607,     -0.3975021192,     -0.2845079776,       2.474662895
          0,           0,          47,      -3.091691957,     -0.4364567107,     -0.3233123153,        2.42975306
          0,           0,          48,      -3.137649391,      -0.476980009,     -0.3638640864,       2.383855494
          0,           0,          49,      -3.184687023,     -0.5191255542,     -0.4062633354,       2.336899995
          0,           0,          50,      -3.232880133,     -0.5628933443,      -0.450563573,       2.288809551
          0,           0,          51,      -3.282242338,     -0.6082578502,     -0.4967552625,       2.239563197
          0,           0,          52,      -3.332750457,      -0.655135437,      -0.544767113,       2.189177754
          0,           0,          53,      -3.384342811,     -0.7033810914,     -0.5944746574,       2.137708346
          0,           0,          54,      -3.436914753,     -0.7528070925,      -0.645692083,       2.085250004
          0,           0,          55,      -3.490333585,     -0.8031930902,     -0.6981756741,       2.031926569
          0,           0,          56,       -3.54445292,     -0.8542941869,     -0.7516217991,       1.977877899
          0,           0,          57,      -3.599102129,     -0.9058397596,     -0.8056563963,        1.92326786
          0,           0,          58,      -3.654081017,     -0.9575359178,     -0.8598349739,       1.868289992
          0,           0,          59,      -3.709171999,      -1.009075837,     -0.9136556648,        1.81315573
          0,           0,          60,       -3.76418201,      -1.060185422,     -0.9666462448,       1.758055551
          0,           0,          61,      -3.818900765,      -1.110600688,      -1.018307695,       1.703196261
          0,           0,          62,      -3.873140164,      -1.160110244,      -1.068205575,       1.648764222
          0,           0,          63,      -3.926748161,      -1.208569357,      -1.116017178,       1.594912476
          0,           0,          64,      -3.979619828,      -1.255909464,      -1.161571152,       1.541749439
          0,           0,          65,      -4.031693498,      -1.302139775,      -1.204867438,       1.489340561
          0,           0,          66,         -4.082941,      -1.347331146,      -1.246069257,       1.437716524
          0,           0,          67,      -4.133371119,      -1.391613637,      -1.285476018,       1.386870759
          0,           0,          68,      -4.183011209,       -1.43514436,      -1.323471214,       1.336778149
          0,           0,          69,      -4.231887141,      -1.478086681,      -1.360469593,       1.287410735
          0,           0,          70,       -4.28001027,      -1.520585075,       -1.39686807,        1.23875506
          0,           0,          71,      -4.327360065,      -1.562753677,      -1.433010285,       1.190828378
          0,           0,          72,      -4.373877192,      -1.604655488,      -1.469169735,       1.143688031
          0,           0,          73,      -4.419456713,      -1.646297451,      -1.505533947,       1.097440397
          0,           0,          74,      -4.463949871,      -1.687622671,      -1.542208421,       1.052240146
          0,           0,          75,      -4.507173886,      -1.728511274,      -1.579220756,       1.008281657
          0,           0,          76,      -4.548924637,      -1.768784948,      -1.616526945,       0.965786965
          0,           0,          77,      -4.589001566,      -1.808219049,      -1.654020366,      0.9249804582
          0,           0,          78,      -4.627226494,      -1.846559102,      -1.691541231,      0.8860675177
          0,           0,          79,      -4.663463526,      -1.883539879,      -1.728885478,      0.8492117205
          0,           0,          80,      -4.697632199,      -1.918913022,      -1.765814182,       0.814517796
          0,           0,          81,      -4.729712573,      -1.952474023,      -1.802064945,      0.7820230573
          0,           0,          82,      -4.759751321,      -1.984086017,      -1.837367073,      0.7516897388
          0,           0,          83,      -4.787840952,      -2.013694658,      -1.871459159,      0.7234250182
          0,           0,          84,      -4.814103836,      -2.041331951,      -1.904099467,      0.6970973562
          0,           0,          85,      -4.838699212,      -2.067113107,      -1.935093639,      0.6725332393
          0,           0,          86,      -4.861803233,      -2.091219931,      -1.964311664,      0.6495392677
          0,           0,          87,      -4.883593942,      -2.113876862,       -1.99169387,      0.6279191856
          0,           0,          88,      -4.904241739,      -2.135330303,      -2.017254872,       0.607485305
          0,           0,          89,      -4.923909522,      -2.155826499,      -2.041081615,      0.5880597873
          0,           0,          90,      -4.942751747,      -2.175592503,       -2.06332357,      0.5694761378
          0,           0,          91,      -4.960911467,      -2.194834728,      -2.084175535,      0.5515820835
          0,           0,          92,      -4.978520694,      -2.213725974,      -2.103855817,      0.5342388937
          0,           0,          93,      -4.995701956,      -2.232406693,      -2.122599393,      0.5173197961
          0,           0,          94,      -5.012568476,       -2.25098728,      -2.140634465,      0.5007088964
          0,           0,          95,      -5.029222034,      -2.269553155,      -2.158172153,       0.484302934
          0,           0,          96,       -5.04575597,      -2.288167096,       -2.17540016,       0.468007934
          0,           0,          97,       -5.06225404,      -2.306875369,      -2.192480048,      0.4517401295
          0,           0,          98,       -5.07879203,      -2.325711026,       -2.20954744,      0.4354241124
          0,           0,          99,      -5.095435036,      -2.344697328,      -2.226712005,       0.418995159
          0,           0,         100,      -5.112242404,      -2.363850395,      -2.244061062,      0.4023943987
          0,           0,         101,      -5.129263919,      -2.383182572,      -2.261662204,      0.3855725514
          0,           0,         102,      -5.146539691,      -2.402702452,      -2.279564771,      0.3684898752
          0,           0,         103,      -5.164101193,      -2.422416346,      -2.297802356,      0.3511151245
          0,           0,         104,      -5.181971461,      -2.442329134,       -2.31639582,      0.3334253398
          0,           0,         105,      -5.200166148,      -2.462445123,      -2.335355924,      0.3154048692
          0,           0,         106,      -5.218693305,      -2.482766865,      -2.354684639,      0.2970456013
          0,           0,         107,      -5.237554916,      -2.503295606,      -2.374376888,      0.2783454384
          0,           0,         108,       -5.25674683,      -2.524031443,      -2.394421687,      0.2593083384
          0,           0,         109,       -5.27626077,      -2.544973128,      -2.414803597,      0.2399424063
          0,           0,         110,      -5.296084173,      -2.566118282,      -2.435503734,      0.2202600312
          0,           0,         111,      -5.316201352,      -2.587463043,      -2.456500709,      0.2002767373
          0,           0,         112,      -5.336594419,       -2.60900229,      -2.477771438,      0.1800102946
          0,           0,         113,      -5.357244262,       -2.63072977,      -2.499292145,      0.1594797806
          0,           0,         114,      -5.378131262,       -2.65263819,      -2.521039022,      0.1387048454
          0,           0,         115,      -5.399235922,      -2.674719465,      -2.542988794,      0.1177050991
          0,           0,         116,      -5.420539438,      -2.696964962,        -2.5651193,      0.0964995331
          0,           0,         117,      -5.442024192,      -2.719365749,      -2.587409959,     0.07510603659
          0,           0,         118,      -5.463674139,      -2.741912844,      -2.609842165,     0.05354099748
          0,           0,         119,      -5.485475118,      -2.764597473,      -2.632399592,     0.03181898972
          0,           0,         120,      -5.507415041,      -2.787411288,      -2.655068385,    0.009952567137
          0,           0,         121,      -5.529483992,      -2.810346575,      -2.677837262,    -0.01204784668
          0,           0,         122,      -5.551674237,      -2.833396413,      -2.700697518,    -0.03417398606
          0,           0,         123,      -5.573980158,      -2.856554797,      -2.723642942,    -0.05641969196
          0,           0,         124,      -5.596398117,      -2.879816736,       -2.74666967,    -0.07878079865
          0,           0,         125,      -5.618926284,      -2.903178284,      -2.769775967,     -0.1012549616
          0,           0,         126,       -5.64156439,      -2.926636556,      -2.792961971,     -0.1238414388
          0,           0,         127,      -5.664313494,      -2.950189698,      -2.816229406,     -0.1465408587
          0,           0,         128,      -5.687175701,      -2.973836818,      -2.839581278,     -0.1693549459
          0,           0,         129,      -5.710153904,      -2.997577899,      -2.863021566,      -0.192286271
          0,           0,         130,      -5.733251512,      -3.021413692,       -2.88655493,     -0.2153379786
          0,           0,         131,      -5.756472209,       -3.04534558,      -2.910186426,     -0.2385135464
          0,           0,         132,      -5.779819723,      -3.069375444,      -2.933921245,      -0.261816555
          0,           0,         133,      -5.803297632,      -3.093505522,      -2.957764498,     -0.2852504813
          0,           0,         134,      -5.826909187,      -3.117738264,      -2.981721011,     -0.3088185312
          0,           0,         135,      -5.850657173,      -3.142076195,      -3.005795166,     -0.3325234807
          0,           0,         136,      -5.874543824,      -3.166521796,       -3.02999078,     -0.3563675909
          0,           0,         137,      -5.898570706,       -3.19107738,      -3.054311004,     -0.3803524849
          0,           0,         138,      -5.922738717,      -3.215745005,      -3.078758268,     -0.4044791345
          0,           0,         139,      -5.947048031,      -3.240526383,      -3.103334242,     -0.4287478055
          0,           0,         140,      -5.971498137,      -3.265422827,      -3.128039839,     -0.4531580883
          0,           0,         141,      -5.996087848,      -3.290435199,      -3.152875222,     -0.4777088963
